,Player,Market Value (Millions USD),Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG,npxG,xA,npxG+xA,xG per 90,xA per 90,xG+xA per 90,npxG per 90,npxG+xA per 90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_x,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Cmp,Att_y,Cmp%,TotDist,PrgDist,Cmp short,Att short,Cmp% short,Cmp medium,Att medium,Cmp% medium,Cmp long,Att long,Cmp% long,A-xA,KP,1/3,PPA,CrsPA,Prog
296,Jonjo Shelvey,14.3,16.0,7.0,14.0,28.0,30.0,29.0,2617.0,29.1,1.0,3.0,1.0,0.03,0.1,0.14,0.03,0.14,2.5,2.5,2.7,5.2,0.08,0.09,0.18,0.08,0.18,48.0,25.0,26.0,18.0,4.0,12.0,51.0,23.5,39.0,387.0,76.0,19.6,165.0,170.0,52.0,35.0,12.0,1.0,23.0,43.0,91.0,67.0,0.0,1047.0,1418.0,73.8,25957.0,7702.0,316.0,366.0,86.3,433.0,522.0,83.0,291.0,504.0,57.7,0.3,38.0,132.0,23.0,5.0,110.0
297,Jonjo Shelvey,14.3,16.0,7.0,14.0,28.0,30.0,29.0,2617.0,29.1,1.0,3.0,1.0,0.03,0.1,0.14,0.03,0.14,2.5,2.5,2.7,5.2,0.08,0.09,0.18,0.08,0.18,48.0,25.0,26.0,18.0,4.0,12.0,51.0,23.5,39.0,387.0,76.0,19.6,165.0,170.0,52.0,35.0,12.0,1.0,23.0,43.0,91.0,67.0,0.0,1047.0,1418.0,73.8,25957.0,7702.0,316.0,366.0,86.3,433.0,522.0,83.0,291.0,504.0,57.7,0.3,38.0,132.0,23.0,5.0,110.0
298,Jeff Hendrick,9.9,23.0,7.0,14.0,28.0,22.0,17.0,1422.0,15.8,2.0,1.0,2.0,0.13,0.06,0.19,0.13,0.19,1.1,1.1,0.7,1.8,0.07,0.05,0.11,0.07,0.11,6.0,4.0,3.0,3.0,0.0,2.0,14.0,14.3,12.0,173.0,48.0,27.7,41.0,104.0,28.0,24.0,9.0,0.0,15.0,12.0,18.0,28.0,0.0,429.0,533.0,80.5,7532.0,1770.0,194.0,231.0,84.0,174.0,194.0,89.7,49.0,73.0,67.1,0.3,4.0,27.0,5.0,1.0,35.0
299,Jeff Hendrick,9.9,23.0,7.0,14.0,28.0,22.0,17.0,1422.0,15.8,2.0,1.0,2.0,0.13,0.06,0.19,0.13,0.19,1.1,1.1,0.7,1.8,0.07,0.05,0.11,0.07,0.11,6.0,4.0,3.0,3.0,0.0,2.0,14.0,14.3,12.0,173.0,48.0,27.7,41.0,104.0,28.0,24.0,9.0,0.0,15.0,12.0,18.0,28.0,0.0,429.0,533.0,80.5,7532.0,1770.0,194.0,231.0,84.0,174.0,194.0,89.7,49.0,73.0,67.1,0.3,4.0,27.0,5.0,1.0,35.0
300,Matthew Longstaff,5.5,16.0,7.0,14.0,20.0,5.0,4.0,377.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.02,0.02,0.0,0.02,4.0,3.0,4.0,0.0,0.0,2.0,6.0,33.3,4.0,98.0,25.0,25.5,30.0,58.0,10.0,9.0,0.0,0.0,9.0,6.0,10.0,3.0,0.0,117.0,148.0,79.1,2121.0,341.0,53.0,64.0,82.8,44.0,50.0,88.0,19.0,30.0,63.3,-0.1,2.0,4.0,1.0,1.0,3.0
301,Matthew Longstaff,5.5,16.0,7.0,14.0,20.0,5.0,4.0,377.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.02,0.02,0.0,0.02,4.0,3.0,4.0,0.0,0.0,2.0,6.0,33.3,4.0,98.0,25.0,25.5,30.0,58.0,10.0,9.0,0.0,0.0,9.0,6.0,10.0,3.0,0.0,117.0,148.0,79.1,2121.0,341.0,53.0,64.0,82.8,44.0,50.0,88.0,19.0,30.0,63.3,-0.1,2.0,4.0,1.0,1.0,3.0
302,Miguel Almirón,17.6,40.0,9.0,14.0,26.0,34.0,28.0,2429.0,27.0,4.0,1.0,4.0,0.15,0.04,0.19,0.15,0.19,3.2,3.2,2.8,5.9,0.12,0.1,0.22,0.12,0.22,48.0,29.0,22.0,23.0,3.0,16.0,56.0,28.6,40.0,506.0,114.0,22.5,173.0,210.0,123.0,36.0,5.0,2.0,31.0,27.0,75.0,24.0,1.0,711.0,877.0,81.1,12123.0,2700.0,352.0,395.0,89.1,270.0,317.0,85.2,66.0,109.0,60.6,-1.8,28.0,56.0,26.0,7.0,65.0
303,Miguel Almirón,17.6,40.0,9.0,14.0,26.0,34.0,28.0,2429.0,27.0,4.0,1.0,4.0,0.15,0.04,0.19,0.15,0.19,3.2,3.2,2.8,5.9,0.12,0.1,0.22,0.12,0.22,48.0,29.0,22.0,23.0,3.0,16.0,56.0,28.6,40.0,506.0,114.0,22.5,173.0,210.0,123.0,36.0,5.0,2.0,31.0,27.0,75.0,24.0,1.0,711.0,877.0,81.1,12123.0,2700.0,352.0,395.0,89.1,270.0,317.0,85.2,66.0,109.0,60.6,-1.8,28.0,56.0,26.0,7.0,65.0
306,Allan Saint-Maximin,33.0,18.0,6.0,14.0,23.0,25.0,19.0,1560.0,17.3,3.0,4.0,3.0,0.17,0.23,0.4,0.17,0.4,2.6,2.6,3.3,5.9,0.15,0.19,0.34,0.15,0.34,15.0,11.0,5.0,9.0,1.0,1.0,8.0,12.5,7.0,211.0,52.0,24.6,39.0,115.0,57.0,13.0,1.0,0.0,12.0,9.0,24.0,0.0,0.0,348.0,436.0,79.8,5913.0,1360.0,171.0,200.0,85.5,132.0,157.0,84.1,36.0,52.0,69.2,0.7,28.0,27.0,10.0,2.0,46.0
307,Allan Saint-Maximin,33.0,18.0,6.0,14.0,23.0,25.0,19.0,1560.0,17.3,3.0,4.0,3.0,0.17,0.23,0.4,0.17,0.4,2.6,2.6,3.3,5.9,0.15,0.19,0.34,0.15,0.34,15.0,11.0,5.0,9.0,1.0,1.0,8.0,12.5,7.0,211.0,52.0,24.6,39.0,115.0,57.0,13.0,1.0,0.0,12.0,9.0,24.0,0.0,0.0,348.0,436.0,79.8,5913.0,1360.0,171.0,200.0,85.5,132.0,157.0,84.1,36.0,52.0,69.2,0.7,28.0,27.0,10.0,2.0,46.0
308,Ryan Fraser,11.0,44.0,6.0,14.0,26.0,18.0,9.0,928.0,10.3,0.0,2.0,0.0,0.0,0.19,0.19,0.0,0.19,0.9,0.9,2.1,3.0,0.09,0.2,0.29,0.09,0.29,4.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,114.0,19.0,16.7,18.0,51.0,45.0,8.0,0.0,0.0,8.0,3.0,7.0,3.0,0.0,243.0,369.0,65.9,4220.0,1330.0,119.0,138.0,86.2,85.0,119.0,71.4,31.0,88.0,35.2,-0.1,25.0,7.0,10.0,9.0,17.0
309,Ryan Fraser,11.0,44.0,6.0,14.0,26.0,18.0,9.0,928.0,10.3,0.0,2.0,0.0,0.0,0.19,0.19,0.0,0.19,0.9,0.9,2.1,3.0,0.09,0.2,0.29,0.09,0.29,4.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,114.0,19.0,16.7,18.0,51.0,45.0,8.0,0.0,0.0,8.0,3.0,7.0,3.0,0.0,243.0,369.0,65.9,4220.0,1330.0,119.0,138.0,86.2,85.0,119.0,71.4,31.0,88.0,35.2,-0.1,25.0,7.0,10.0,9.0,17.0
312,Jacob Murphy,4.4,16.0,3.0,14.0,25.0,26.0,17.0,1626.0,18.1,2.0,3.0,2.0,0.11,0.17,0.28,0.11,0.28,1.2,1.2,2.4,3.6,0.07,0.13,0.2,0.07,0.2,49.0,35.0,32.0,14.0,3.0,29.0,54.0,53.7,25.0,351.0,95.0,27.1,181.0,114.0,56.0,41.0,5.0,0.0,36.0,20.0,69.0,34.0,0.0,416.0,608.0,68.4,7545.0,3364.0,188.0,224.0,83.9,159.0,220.0,72.3,59.0,128.0,46.1,0.6,18.0,26.0,28.0,10.0,44.0
313,Jacob Murphy,4.4,16.0,3.0,14.0,25.0,26.0,17.0,1626.0,18.1,2.0,3.0,2.0,0.11,0.17,0.28,0.11,0.28,1.2,1.2,2.4,3.6,0.07,0.13,0.2,0.07,0.2,49.0,35.0,32.0,14.0,3.0,29.0,54.0,53.7,25.0,351.0,95.0,27.1,181.0,114.0,56.0,41.0,5.0,0.0,36.0,20.0,69.0,34.0,0.0,416.0,608.0,68.4,7545.0,3364.0,188.0,224.0,83.9,159.0,220.0,72.3,59.0,128.0,46.1,0.6,18.0,26.0,28.0,10.0,44.0
314,Callum Wilson,24.2,16.0,4.0,14.0,28.0,26.0,23.0,2084.0,23.2,12.0,5.0,8.0,0.52,0.22,0.73,0.35,0.56,11.3,8.2,2.2,10.5,0.49,0.1,0.58,0.36,0.45,13.0,10.0,2.0,6.0,5.0,3.0,12.0,25.0,9.0,335.0,90.0,26.9,33.0,139.0,163.0,18.0,3.0,0.0,15.0,3.0,16.0,12.0,1.0,255.0,366.0,69.7,3521.0,684.0,148.0,198.0,74.7,81.0,105.0,77.1,9.0,14.0,64.3,2.8,14.0,10.0,13.0,0.0,20.0
315,Callum Wilson,24.2,16.0,4.0,14.0,28.0,26.0,23.0,2084.0,23.2,12.0,5.0,8.0,0.52,0.22,0.73,0.35,0.56,11.3,8.2,2.2,10.5,0.49,0.1,0.58,0.36,0.45,13.0,10.0,2.0,6.0,5.0,3.0,12.0,25.0,9.0,335.0,90.0,26.9,33.0,139.0,163.0,18.0,3.0,0.0,15.0,3.0,16.0,12.0,1.0,255.0,366.0,69.7,3521.0,684.0,148.0,198.0,74.7,81.0,105.0,77.1,9.0,14.0,64.3,2.8,14.0,10.0,13.0,0.0,20.0
316,Joelinton,18.7,7.0,6.0,14.0,23.0,31.0,23.0,1983.0,22.0,4.0,2.0,3.0,0.18,0.09,0.27,0.14,0.23,6.1,5.3,2.1,7.5,0.28,0.1,0.37,0.24,0.34,44.0,26.0,10.0,27.0,7.0,13.0,38.0,34.2,25.0,394.0,96.0,24.4,88.0,199.0,107.0,37.0,4.0,0.0,33.0,20.0,64.0,21.0,0.0,436.0,590.0,73.9,6190.0,1191.0,271.0,326.0,83.1,130.0,176.0,73.9,21.0,35.0,60.0,-0.1,17.0,17.0,9.0,2.0,26.0
317,Joelinton,18.7,7.0,6.0,14.0,23.0,31.0,23.0,1983.0,22.0,4.0,2.0,3.0,0.18,0.09,0.27,0.14,0.23,6.1,5.3,2.1,7.5,0.28,0.1,0.37,0.24,0.34,44.0,26.0,10.0,27.0,7.0,13.0,38.0,34.2,25.0,394.0,96.0,24.4,88.0,199.0,107.0,37.0,4.0,0.0,33.0,20.0,64.0,21.0,0.0,436.0,590.0,73.9,6190.0,1191.0,271.0,326.0,83.1,130.0,176.0,73.9,21.0,35.0,60.0,-0.1,17.0,17.0,9.0,2.0,26.0
318,Dwight Gayle,4.4,16.0,6.0,14.0,29.0,18.0,4.0,514.0,5.7,1.0,1.0,1.0,0.18,0.18,0.35,0.18,0.35,2.0,2.0,0.5,2.6,0.36,0.09,0.45,0.36,0.45,6.0,4.0,2.0,4.0,0.0,1.0,5.0,20.0,4.0,90.0,22.0,24.4,13.0,36.0,41.0,3.0,2.0,0.0,1.0,1.0,7.0,0.0,0.0,91.0,114.0,79.8,1216.0,156.0,61.0,69.0,88.4,24.0,30.0,80.0,3.0,9.0,33.3,0.5,6.0,0.0,2.0,0.0,3.0
319,Dwight Gayle,4.4,16.0,6.0,14.0,29.0,18.0,4.0,514.0,5.7,1.0,1.0,1.0,0.18,0.18,0.35,0.18,0.35,2.0,2.0,0.5,2.6,0.36,0.09,0.45,0.36,0.45,6.0,4.0,2.0,4.0,0.0,1.0,5.0,20.0,4.0,90.0,22.0,24.4,13.0,36.0,41.0,3.0,2.0,0.0,1.0,1.0,7.0,0.0,0.0,91.0,114.0,79.8,1216.0,156.0,61.0,69.0,88.4,24.0,30.0,80.0,3.0,9.0,33.3,0.5,6.0,0.0,2.0,0.0,3.0
322,Andy Carroll,1.65,16.0,4.0,14.0,31.0,18.0,4.0,392.0,4.4,1.0,0.0,1.0,0.23,0.0,0.23,0.23,0.23,1.2,1.2,0.1,1.2,0.27,0.02,0.29,0.27,0.29,2.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,6.0,60.0,14.0,23.3,7.0,31.0,22.0,2.0,0.0,0.0,2.0,1.0,3.0,11.0,0.0,89.0,141.0,63.1,1415.0,433.0,53.0,74.0,71.6,26.0,46.0,56.5,7.0,14.0,50.0,-0.1,2.0,10.0,3.0,0.0,12.0
323,Andy Carroll,1.65,16.0,4.0,14.0,31.0,18.0,4.0,392.0,4.4,1.0,0.0,1.0,0.23,0.0,0.23,0.23,0.23,1.2,1.2,0.1,1.2,0.27,0.02,0.29,0.27,0.29,2.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,6.0,60.0,14.0,23.3,7.0,31.0,22.0,2.0,0.0,0.0,2.0,1.0,3.0,11.0,0.0,89.0,141.0,63.1,1415.0,433.0,53.0,74.0,71.6,26.0,46.0,56.5,7.0,14.0,50.0,-0.1,2.0,10.0,3.0,0.0,12.0
328,Wesley Fofana,44.0,18.0,1.0,10.0,19.0,28.0,27.0,2262.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,1.3,0.04,0.01,0.05,0.04,0.05,63.0,41.0,38.0,24.0,1.0,18.0,34.0,52.9,16.0,248.0,83.0,33.5,139.0,101.0,8.0,47.0,21.0,0.0,26.0,51.0,114.0,125.0,0.0,1474.0,1672.0,88.2,31056.0,8308.0,456.0,498.0,91.6,755.0,816.0,92.5,252.0,333.0,75.7,-0.3,6.0,112.0,1.0,0.0,78.0
329,Jonny Evans,7.7,37.0,1.0,10.0,32.0,28.0,28.0,2473.0,27.5,2.0,2.0,2.0,0.07,0.07,0.15,0.07,0.15,1.7,1.7,0.3,2.0,0.06,0.01,0.07,0.06,0.07,21.0,12.0,17.0,3.0,1.0,10.0,21.0,47.6,11.0,168.0,66.0,39.3,112.0,53.0,3.0,27.0,6.0,0.0,21.0,41.0,62.0,146.0,0.0,1544.0,1764.0,87.5,33869.0,10330.0,383.0,415.0,92.3,873.0,927.0,94.2,277.0,402.0,68.9,1.7,8.0,92.0,3.0,0.0,63.0
333,Luke Thomas,5.5,16.0,1.0,10.0,19.0,14.0,12.0,969.0,10.8,1.0,0.0,1.0,0.09,0.0,0.09,0.09,0.09,0.3,0.3,0.2,0.6,0.03,0.02,0.05,0.03,0.05,23.0,8.0,11.0,4.0,8.0,6.0,13.0,46.2,7.0,194.0,59.0,30.4,75.0,80.0,39.0,28.0,3.0,0.0,25.0,16.0,39.0,26.0,0.0,359.0,484.0,74.2,5636.0,1957.0,205.0,240.0,85.4,126.0,166.0,75.9,22.0,54.0,40.7,-0.2,5.0,22.0,7.0,2.0,28.0
334,Christian Fuchs,0.88,4.0,1.0,10.0,34.0,9.0,8.0,702.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.01,0.0,0.01,0.01,0.01,15.0,9.0,13.0,1.0,1.0,5.0,14.0,35.7,9.0,87.0,23.0,26.4,53.0,27.0,7.0,16.0,4.0,1.0,12.0,12.0,27.0,31.0,0.0,478.0,589.0,81.2,9088.0,3503.0,204.0,229.0,89.1,218.0,256.0,85.2,55.0,93.0,59.1,0.0,1.0,42.0,2.0,1.0,33.0
335,Ricardo Pereira,33.0,42.0,1.0,10.0,26.0,15.0,10.0,959.0,10.7,0.0,1.0,0.0,0.0,0.09,0.09,0.0,0.09,0.4,0.4,0.5,0.9,0.04,0.05,0.09,0.04,0.09,37.0,18.0,20.0,13.0,4.0,12.0,31.0,38.7,19.0,201.0,69.0,34.3,87.0,75.0,39.0,28.0,0.0,0.0,28.0,16.0,53.0,26.0,0.0,411.0,525.0,78.3,6621.0,2242.0,210.0,245.0,85.7,163.0,201.0,81.1,27.0,49.0,55.1,0.5,9.0,19.0,11.0,1.0,44.0
336,Timothy Castagne,30.8,5.0,1.0,10.0,24.0,27.0,27.0,2345.0,26.1,2.0,3.0,2.0,0.08,0.12,0.19,0.08,0.19,1.3,1.3,2.0,3.3,0.05,0.08,0.13,0.05,0.13,59.0,34.0,31.0,22.0,6.0,20.0,44.0,45.5,24.0,351.0,100.0,28.5,146.0,130.0,75.0,53.0,5.0,0.0,48.0,23.0,82.0,67.0,1.0,1267.0,1512.0,83.8,20653.0,7144.0,634.0,693.0,91.5,548.0,631.0,86.8,74.0,141.0,52.5,1.0,22.0,87.0,21.0,7.0,99.0
337,James Justin,18.7,16.0,1.0,10.0,22.0,23.0,23.0,2070.0,23.0,2.0,1.0,2.0,0.09,0.04,0.13,0.09,0.13,1.6,1.6,1.6,3.2,0.07,0.07,0.14,0.07,0.14,63.0,28.0,41.0,18.0,4.0,17.0,43.0,39.5,26.0,347.0,110.0,31.7,183.0,107.0,57.0,54.0,11.0,0.0,43.0,25.0,88.0,64.0,0.0,989.0,1248.0,79.2,16540.0,5520.0,496.0,557.0,89.0,413.0,497.0,83.1,68.0,140.0,48.6,-0.6,18.0,56.0,33.0,7.0,92.0
338,Wilfred Ndidi,66.0,36.0,8.0,10.0,23.0,26.0,25.0,2176.0,24.2,1.0,4.0,1.0,0.04,0.17,0.21,0.04,0.21,0.8,0.8,1.5,2.2,0.03,0.06,0.09,0.03,0.09,108.0,73.0,50.0,49.0,9.0,30.0,75.0,40.0,45.0,489.0,183.0,37.4,198.0,245.0,46.0,66.0,13.0,0.0,53.0,62.0,170.0,77.0,0.0,1201.0,1363.0,88.1,22396.0,4643.0,485.0,546.0,88.8,529.0,565.0,93.6,161.0,206.0,78.2,2.5,15.0,80.0,4.0,0.0,57.0
339,Nampalys Mendy,8.8,45.0,7.0,10.0,28.0,23.0,15.0,1459.0,16.2,0.0,1.0,0.0,0.0,0.06,0.06,0.0,0.06,0.1,0.1,0.4,0.4,0.01,0.02,0.03,0.01,0.03,35.0,22.0,19.0,14.0,2.0,7.0,17.0,41.2,10.0,267.0,84.0,31.5,106.0,123.0,38.0,24.0,2.0,0.0,22.0,9.0,44.0,11.0,0.0,882.0,965.0,91.4,15259.0,3059.0,404.0,434.0,93.1,382.0,409.0,93.4,81.0,101.0,80.2,0.6,6.0,78.0,0.0,0.0,49.0
340,Daniel Amartey,5.5,21.0,1.0,10.0,25.0,12.0,8.0,722.0,8.0,1.0,0.0,1.0,0.12,0.0,0.12,0.12,0.12,0.4,0.4,0.0,0.4,0.05,0.0,0.05,0.05,0.05,12.0,6.0,7.0,3.0,2.0,7.0,12.0,58.3,5.0,62.0,24.0,38.7,37.0,22.0,3.0,19.0,5.0,1.0,14.0,12.0,24.0,42.0,0.0,400.0,466.0,85.8,7606.0,2362.0,136.0,146.0,93.2,212.0,240.0,88.3,45.0,62.0,72.6,0.0,0.0,19.0,1.0,0.0,25.0
341,Youri Tielemans,60.5,5.0,7.0,10.0,23.0,38.0,37.0,3357.0,37.3,6.0,4.0,4.0,0.16,0.11,0.27,0.11,0.21,4.5,3.0,3.3,6.3,0.12,0.09,0.21,0.08,0.17,77.0,56.0,31.0,30.0,16.0,27.0,95.0,28.4,68.0,505.0,182.0,36.0,162.0,245.0,98.0,57.0,11.0,0.0,46.0,36.0,113.0,29.0,0.0,2011.0,2559.0,78.6,38768.0,9963.0,788.0,893.0,88.2,910.0,1049.0,86.7,282.0,538.0,52.4,0.7,48.0,212.0,43.0,4.0,206.0
342,Dennis Praet,19.8,5.0,9.0,10.0,26.0,15.0,10.0,718.0,8.0,1.0,1.0,1.0,0.13,0.13,0.25,0.13,0.25,0.5,0.5,0.8,1.3,0.07,0.1,0.16,0.07,0.16,12.0,7.0,5.0,6.0,1.0,6.0,14.0,42.9,8.0,132.0,32.0,24.2,36.0,64.0,32.0,14.0,2.0,0.0,12.0,9.0,21.0,3.0,0.0,248.0,313.0,79.2,3875.0,850.0,135.0,150.0,90.0,92.0,119.0,77.3,14.0,30.0,46.7,0.2,7.0,10.0,7.0,2.0,20.0
343,Hamza Choudhury,7.7,16.0,7.0,10.0,22.0,10.0,4.0,316.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.11,0.0,0.11,0.11,0.11,11.0,7.0,5.0,6.0,0.0,2.0,10.0,20.0,8.0,53.0,18.0,34.0,18.0,31.0,4.0,9.0,2.0,0.0,7.0,5.0,16.0,6.0,1.0,190.0,235.0,80.9,3682.0,616.0,73.0,92.0,79.3,89.0,102.0,87.3,25.0,34.0,73.5,0.0,0.0,13.0,0.0,0.0,8.0
345,Marc Albrighton,4.4,16.0,2.0,10.0,30.0,31.0,17.0,1746.0,19.4,1.0,5.0,1.0,0.05,0.26,0.31,0.05,0.31,1.3,1.3,4.4,5.7,0.07,0.23,0.29,0.07,0.29,43.0,31.0,16.0,18.0,9.0,20.0,55.0,36.4,35.0,340.0,129.0,37.9,111.0,144.0,85.0,32.0,2.0,1.0,30.0,28.0,71.0,26.0,0.0,635.0,923.0,68.8,11394.0,4629.0,319.0,383.0,83.3,211.0,263.0,80.2,84.0,199.0,42.2,0.6,39.0,51.0,42.0,16.0,87.0
346,Harvey Barnes,38.5,16.0,6.0,10.0,22.0,25.0,22.0,1945.0,21.6,9.0,4.0,9.0,0.42,0.19,0.6,0.42,0.6,6.2,6.2,1.5,7.7,0.29,0.07,0.35,0.29,0.35,22.0,14.0,9.0,6.0,7.0,4.0,19.0,21.1,15.0,227.0,69.0,30.4,61.0,91.0,75.0,24.0,4.0,0.0,20.0,16.0,38.0,13.0,0.0,468.0,626.0,74.8,7239.0,1875.0,265.0,331.0,80.1,157.0,198.0,79.3,33.0,51.0,64.7,2.5,25.0,37.0,19.0,2.0,62.0
347,James Maddison,60.5,16.0,9.0,10.0,23.0,31.0,24.0,2099.0,23.3,8.0,5.0,8.0,0.34,0.21,0.56,0.34,0.56,4.4,4.4,5.3,9.7,0.19,0.23,0.42,0.19,0.42,37.0,27.0,4.0,20.0,13.0,9.0,28.0,32.1,19.0,344.0,94.0,27.3,57.0,176.0,111.0,13.0,1.0,0.0,12.0,11.0,48.0,6.0,0.0,863.0,1116.0,77.3,15126.0,4144.0,432.0,490.0,88.2,304.0,364.0,83.5,107.0,205.0,52.2,-0.3,52.0,86.0,35.0,5.0,101.0
349,Ayoze Pérez,19.8,17.0,9.0,10.0,27.0,25.0,15.0,1331.0,14.8,2.0,1.0,2.0,0.14,0.07,0.2,0.14,0.2,3.2,3.2,1.3,4.5,0.22,0.08,0.3,0.22,0.3,32.0,15.0,8.0,18.0,6.0,9.0,39.0,23.1,30.0,343.0,91.0,26.5,65.0,175.0,103.0,31.0,1.0,0.0,30.0,19.0,51.0,6.0,0.0,382.0,499.0,76.6,5452.0,1421.0,237.0,277.0,85.6,109.0,143.0,76.2,21.0,43.0,48.8,-0.3,23.0,26.0,27.0,5.0,54.0
350,Kelechi Iheanacho,22.0,36.0,4.0,10.0,23.0,25.0,16.0,1459.0,16.2,12.0,2.0,12.0,0.74,0.12,0.86,0.74,0.86,7.8,7.0,2.9,10.0,0.48,0.18,0.66,0.43,0.62,12.0,9.0,3.0,6.0,3.0,3.0,15.0,20.0,12.0,243.0,54.0,22.2,18.0,127.0,98.0,19.0,3.0,0.0,16.0,4.0,16.0,1.0,0.0,400.0,501.0,79.8,5838.0,924.0,248.0,283.0,87.6,113.0,136.0,83.1,29.0,49.0,59.2,-0.9,25.0,21.0,22.0,5.0,29.0
351,Jamie Vardy,7.7,16.0,4.0,10.0,33.0,34.0,31.0,2840.0,31.6,15.0,9.0,7.0,0.48,0.29,0.76,0.22,0.51,19.7,12.8,4.9,17.8,0.62,0.16,0.78,0.41,0.56,15.0,8.0,3.0,5.0,7.0,3.0,15.0,20.0,12.0,295.0,79.0,26.8,14.0,102.0,179.0,16.0,5.0,0.0,11.0,8.0,23.0,29.0,0.0,300.0,452.0,66.4,4478.0,717.0,182.0,255.0,71.4,88.0,129.0,68.2,20.0,33.0,60.6,4.1,27.0,13.0,11.0,0.0,25.0
357,John Egan,9.9,23.0,1.0,15.0,27.0,31.0,30.0,2629.0,29.2,0.0,1.0,0.0,0.0,0.03,0.03,0.0,0.03,0.7,0.7,0.3,1.0,0.02,0.01,0.03,0.02,0.03,47.0,30.0,34.0,12.0,1.0,17.0,34.0,50.0,17.0,247.0,81.0,32.8,155.0,87.0,5.0,56.0,33.0,1.0,23.0,41.0,88.0,160.0,1.0,925.0,1094.0,84.6,21851.0,6700.0,231.0,253.0,91.3,480.0,526.0,91.3,209.0,301.0,69.4,0.7,3.0,81.0,7.0,1.0,58.0
358,Jack O'Connell,5.5,16.0,1.0,15.0,26.0,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,10.0,4.0,40.0,5.0,2.0,3.0,6.0,3.0,0.0,3.0,0.0,3.0,11.0,0.0,60.0,77.0,77.9,1225.0,531.0,23.0,24.0,95.8,24.0,30.0,80.0,12.0,20.0,60.0,0.0,0.0,4.0,2.0,0.0,6.0
359,Chris Basham,2.2,16.0,3.0,15.0,32.0,31.0,31.0,2576.0,28.6,0.0,1.0,0.0,0.0,0.03,0.03,0.0,0.03,0.8,0.8,0.8,1.6,0.03,0.03,0.05,0.03,0.05,76.0,46.0,48.0,22.0,6.0,37.0,70.0,52.9,33.0,383.0,115.0,30.0,201.0,137.0,45.0,49.0,15.0,5.0,34.0,45.0,121.0,124.0,1.0,900.0,1105.0,81.4,16284.0,4713.0,404.0,451.0,89.6,377.0,444.0,84.9,105.0,169.0,62.1,0.2,10.0,54.0,15.0,7.0,62.0
360,Kean Bryan,2.2,16.0,1.0,15.0,23.0,13.0,12.0,1004.0,11.2,1.0,0.0,1.0,0.09,0.0,0.09,0.09,0.09,0.4,0.4,0.4,0.8,0.04,0.03,0.07,0.04,0.07,24.0,15.0,13.0,10.0,1.0,9.0,15.0,60.0,6.0,150.0,44.0,29.3,81.0,58.0,11.0,26.0,11.0,0.0,15.0,28.0,52.0,70.0,3.0,323.0,443.0,72.9,6614.0,3041.0,118.0,129.0,91.5,147.0,179.0,82.1,50.0,115.0,43.5,-0.4,4.0,27.0,3.0,1.0,22.0
361,Phil Jagielka,0.275,16.0,1.0,15.0,37.0,10.0,6.0,526.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,5.0,3.0,1.0,5.0,11.0,45.5,6.0,56.0,17.0,30.4,40.0,16.0,0.0,15.0,6.0,0.0,9.0,12.0,21.0,47.0,2.0,142.0,186.0,76.3,3668.0,1007.0,34.0,39.0,87.2,57.0,71.0,80.3,49.0,71.0,69.0,0.0,0.0,4.0,0.0,0.0,5.0
