,Player,Market Value (Millions USD),Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG,npxG,xA,npxG+xA,xG per 90,xA per 90,xG+xA per 90,npxG per 90,npxG+xA per 90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_x,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Cmp,Att_y,Cmp%,TotDist,PrgDist,Cmp short,Att short,Cmp% short,Cmp medium,Att medium,Cmp% medium,Cmp long,Att long,Cmp% long,A-xA,KP,1/3,PPA,CrsPA,Prog
193,Marvelous Nakamba,7.7,55.0,7.0,2.0,26.0,13.0,9.0,749.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.01,0.0,0.01,23.0,14.0,9.0,14.0,0.0,4.0,10.0,40.0,6.0,208.0,62.0,29.8,108.0,89.0,11.0,21.0,5.0,0.0,16.0,11.0,34.0,18.0,0.0,234.0,273.0,85.7,4243.0,950.0,99.0,112.0,88.4,99.0,111.0,89.2,30.0,43.0,69.8,0.0,1.0,16.0,0.0,0.0,9.0
194,John McGinn,33.0,44.0,7.0,2.0,25.0,37.0,37.0,3330.0,37.0,3.0,5.0,3.0,0.08,0.14,0.22,0.08,0.22,2.2,2.2,3.0,5.3,0.06,0.08,0.14,0.06,0.14,74.0,46.0,24.0,38.0,12.0,22.0,76.0,28.9,54.0,649.0,168.0,25.9,206.0,330.0,113.0,39.0,5.0,0.0,34.0,45.0,119.0,30.0,2.0,1080.0,1398.0,77.3,23732.0,7706.0,360.0,418.0,86.1,466.0,569.0,81.9,227.0,349.0,65.0,2.0,40.0,179.0,44.0,6.0,179.0
195,Morgan Sanson,17.6,18.0,7.0,2.0,25.0,9.0,3.0,294.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.01,0.04,0.05,0.01,0.05,6.0,5.0,5.0,1.0,0.0,0.0,5.0,0.0,5.0,103.0,34.0,33.0,30.0,48.0,25.0,4.0,0.0,0.0,4.0,7.0,13.0,4.0,0.0,122.0,161.0,75.8,2089.0,516.0,56.0,66.0,84.8,52.0,60.0,86.7,11.0,25.0,44.0,-0.1,1.0,7.0,1.0,0.0,9.0
196,Conor Hourihane,3.85,23.0,7.0,2.0,29.0,4.0,3.0,225.0,2.5,1.0,1.0,1.0,0.4,0.4,0.8,0.4,0.8,0.5,0.5,0.8,1.3,0.2,0.32,0.52,0.2,0.52,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,17.0,6.0,35.3,4.0,6.0,7.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,116.0,155.0,74.8,2503.0,557.0,31.0,35.0,88.6,52.0,64.0,81.3,27.0,46.0,58.7,0.2,4.0,18.0,2.0,1.0,9.0
197,Jacob Ramsey,5.5,16.0,7.0,2.0,19.0,22.0,6.0,626.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.8,0.07,0.04,0.11,0.07,0.11,11.0,7.0,4.0,6.0,1.0,0.0,12.0,0.0,12.0,199.0,60.0,30.2,78.0,83.0,38.0,17.0,6.0,0.0,11.0,6.0,17.0,9.0,0.0,188.0,220.0,85.5,3360.0,717.0,86.0,98.0,87.8,71.0,80.0,88.8,25.0,30.0,83.3,-0.3,6.0,16.0,1.0,1.0,15.0
198,Jack Grealish,71.5,16.0,6.0,2.0,24.0,26.0,24.0,2185.0,24.3,6.0,10.0,6.0,0.25,0.41,0.66,0.25,0.66,4.3,4.3,8.6,12.9,0.18,0.35,0.53,0.18,0.53,27.0,19.0,6.0,15.0,6.0,4.0,18.0,22.2,14.0,316.0,100.0,31.6,85.0,115.0,116.0,26.0,3.0,0.0,23.0,13.0,40.0,6.0,1.0,864.0,1100.0,78.5,14722.0,5062.0,439.0,515.0,85.2,307.0,362.0,84.8,91.0,153.0,59.5,1.4,83.0,84.0,72.0,4.0,168.0
200,Bertrand Traoré,22.0,6.0,4.0,2.0,24.0,36.0,29.0,2317.0,25.7,7.0,6.0,7.0,0.27,0.23,0.5,0.27,0.5,6.4,6.4,3.2,9.6,0.25,0.12,0.37,0.25,0.37,26.0,9.0,9.0,8.0,9.0,9.0,39.0,23.1,30.0,389.0,74.0,19.0,106.0,157.0,126.0,26.0,1.0,0.0,25.0,23.0,49.0,16.0,0.0,566.0,796.0,71.1,10852.0,2636.0,247.0,304.0,81.3,214.0,274.0,78.1,93.0,179.0,52.0,2.8,33.0,28.0,26.0,7.0,62.0
201,Anwar El Ghazi,14.3,35.0,4.0,2.0,25.0,28.0,17.0,1613.0,17.9,10.0,0.0,6.0,0.56,0.0,0.56,0.33,0.33,8.1,5.1,2.3,7.3,0.45,0.13,0.58,0.28,0.41,16.0,10.0,8.0,5.0,3.0,4.0,18.0,22.2,14.0,218.0,52.0,23.9,60.0,82.0,76.0,11.0,0.0,0.0,11.0,10.0,26.0,12.0,0.0,432.0,613.0,70.5,6996.0,1939.0,241.0,293.0,82.3,135.0,184.0,73.4,39.0,81.0,48.1,-2.3,24.0,27.0,18.0,10.0,39.0
202,Ollie Watkins,35.2,16.0,4.0,2.0,24.0,37.0,37.0,3328.0,37.0,14.0,5.0,13.0,0.38,0.14,0.51,0.35,0.49,16.0,14.5,4.2,18.7,0.43,0.11,0.55,0.39,0.51,35.0,22.0,5.0,18.0,12.0,10.0,30.0,33.3,20.0,626.0,166.0,26.5,36.0,246.0,344.0,19.0,3.0,0.0,16.0,12.0,47.0,25.0,0.0,606.0,832.0,72.8,8190.0,1449.0,395.0,506.0,78.1,167.0,222.0,75.2,19.0,37.0,51.4,0.8,42.0,40.0,25.0,3.0,45.0
205,Keinan Davis,3.3,16.0,6.0,2.0,22.0,15.0,1.0,277.0,3.1,1.0,1.0,1.0,0.32,0.32,0.65,0.32,0.65,1.0,1.0,0.5,1.5,0.34,0.16,0.49,0.34,0.49,3.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,63.0,16.0,25.4,4.0,33.0,26.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,58.0,79.0,73.4,843.0,141.0,36.0,40.0,90.0,19.0,29.0,65.5,2.0,4.0,50.0,0.5,5.0,1.0,3.0,0.0,3.0
