Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG,npxG,xA,npxG+xA,xG per 90,xA per 90,xG+xA per 90,npxG per 90,npxG+xA per 90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_x,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Cmp,Att_y,Cmp%,TotDist,PrgDist,Cmp short,Att short,Cmp% short,Cmp medium,Att medium,Cmp% medium,Cmp long,Att long,Cmp% long,A-xA,KP,1/3,PPA,CrsPA,Prog,Player_is_missing,Nation_is_missing,Pos_is_missing,Squad_is_missing
Daniel James,54,4,13,22,15,11,910,10.1,3,1,3,0.3,0.1,0.4,0.3,0.4,2.3,2.3,1.2,3.5,0.23,0.12,0.34,0.23,0.34,12,9,4,5,3,2,23,8.7,21,221,46,20.8,46,88,87,14,1,0,13,10,22,4,0,237,304,78,3257,754,151,176,85.8,68,88,77.3,7,11,63.6,-0.2,10,6,12,3,25,FALSE,FALSE,FALSE,FALSE
Reece James,16,1,5,20,32,25,2373,26.4,1,2,1,0.04,0.08,0.11,0.04,0.11,1.6,1.6,3,4.6,0.06,0.12,0.18,0.06,0.18,64,36,35,21,8,19,49,38.8,30,360,92,25.6,159,152,49,58,9,0,49,41,105,54,0,1688,1987,85,31436,8069,738,799,92.4,732,818,89.5,202,315,64.1,-1,40,81,45,24,111,FALSE,FALSE,FALSE,FALSE
Daniel Jebbison,16,4,15,17,4,3,284,3.2,1,0,1,0.32,0,0.32,0.32,0.32,1.6,1.6,0,1.6,0.5,0.01,0.51,0.5,0.51,4,0,1,2,1,1,3,33.3,2,61,9,14.8,3,27,31,8,1,0,7,3,7,0,0,24,34,70.6,308,38,16,21,76.2,6,9,66.7,1,2,50,0,1,2,0,0,1,FALSE,FALSE,FALSE,FALSE
Gabriel Jesus,7,4,12,23,29,22,2063,22.9,9,4,9,0.39,0.17,0.57,0.39,0.57,8.8,8.8,3.4,12.2,0.38,0.15,0.53,0.38,0.53,23,13,6,8,9,7,26,26.9,19,331,104,31.4,39,119,173,19,2,0,17,19,42,4,0,638,754,84.6,8741,1055,394,444,88.7,168,196,85.7,32,44,72.7,0.6,28,23,14,1,31,FALSE,FALSE,FALSE,FALSE
Raúl Jiménez,31,4,20,29,10,10,823,9.1,4,0,4,0.44,0,0.44,0.44,0.44,2.4,2.4,0.8,3.1,0.26,0.08,0.34,0.26,0.34,7,4,1,4,2,0,7,0,7,90,22,24.4,12,36,42,8,1,0,7,6,13,10,1,207,263,78.7,3241,561,126,150,84,52,64,81.3,22,32,68.8,-0.8,8,16,9,0,19,FALSE,FALSE,FALSE,FALSE
Joelinton,7,6,14,23,31,23,1983,22,4,2,3,0.18,0.09,0.27,0.14,0.23,6.1,5.3,2.1,7.5,0.28,0.1,0.37,0.24,0.34,44,26,10,27,7,13,38,34.2,25,394,96,24.4,88,199,107,37,4,0,33,20,64,21,0,436,590,73.9,6190,1191,271,326,83.1,130,176,73.9,21,35,60,-0.1,17,17,9,2,26,FALSE,FALSE,FALSE,FALSE
Ben Johnson,16,1,19,20,14,5,523,5.8,1,0,1,0.17,0,0.17,0.17,0.17,0.4,0.4,0.2,0.6,0.06,0.04,0.1,0.06,0.1,9,3,7,0,2,5,9,55.6,4,81,13,16,45,22,14,10,2,1,8,11,20,14,0,154,219,70.3,2655,1075,86,94,91.5,46,66,69.7,17,40,42.5,-0.2,4,12,3,3,15,FALSE,FALSE,FALSE,FALSE
Curtis Jones,16,7,11,19,24,13,1179,13.1,1,2,1,0.08,0.15,0.23,0.08,0.23,1.4,1.4,1.6,3,0.11,0.12,0.23,0.11,0.23,21,16,8,8,5,10,23,43.5,13,234,70,29.9,51,110,73,18,0,0,18,17,38,10,1,890,976,91.2,15013,3201,433,465,93.1,354,374,94.7,86,105,81.9,0.4,13,97,22,2,66,FALSE,FALSE,FALSE,FALSE
Jorginho,26,7,5,28,28,23,2010,22.3,7,1,0,0.31,0.04,0.36,0,0.04,7,0.1,2.1,2.2,0.31,0.09,0.41,0.01,0.1,59,38,25,28,6,22,73,30.1,51,467,165,35.3,169,241,57,42,5,0,37,51,110,21,1,1558,1740,89.5,27960,6525,706,755,93.5,670,733,91.4,160,218,73.4,-1.1,24,140,20,1,115,FALSE,FALSE,FALSE,FALSE
Willian José,7,4,20,28,17,12,1110,12.3,1,0,1,0.08,0,0.08,0.08,0.08,1.9,1.9,0.6,2.4,0.15,0.05,0.2,0.15,0.2,2,2,0,1,1,0,4,0,4,119,32,26.9,5,63,51,7,1,0,6,7,9,10,0,249,306,81.4,4406,570,121,140,86.4,86,101,85.1,32,39,82.1,-0.6,11,14,3,0,12,FALSE,FALSE,FALSE,FALSE
Diogo Jota,42,4,11,23,19,12,1112,12.4,9,0,9,0.73,0,0.73,0.73,0.73,6.6,6.6,1.6,8.2,0.53,0.13,0.66,0.53,0.66,14,10,4,7,3,5,35,14.3,30,296,75,25.3,59,105,132,12,1,0,11,8,22,4,0,327,451,72.5,5377,1228,180,220,81.8,112,151,74.2,30,49,61.2,-1.6,12,33,14,0,46,FALSE,FALSE,FALSE,FALSE
James Justin,16,1,10,22,23,23,2070,23,2,1,2,0.09,0.04,0.13,0.09,0.13,1.6,1.6,1.6,3.2,0.07,0.07,0.14,0.07,0.14,63,28,41,18,4,17,43,39.5,26,347,110,31.7,183,107,57,54,11,0,43,25,88,64,0,989,1248,79.2,16540,5520,496,557,89,413,497,83.1,68,140,48.6,-0.6,18,56,33,7,92,FALSE,FALSE,FALSE,FALSE
Ozan Kabak,50,1,11,20,9,9,801,8.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.01,0.02,0.03,0.01,0.03,19,10,12,4,3,2,7,28.6,5,103,41,39.8,58,40,5,5,3,0,2,12,31,49,1,502,554,90.6,10365,2683,167,179,93.3,258,266,97,76,108,70.4,-0.2,1,16,0,0,15,FALSE,FALSE,FALSE,FALSE
Aboubakar Kamara,34,5,8,25,11,2,315,3.5,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,0.11,0.11,0.22,0.11,0.22,2,2,2,0,0,1,5,20,4,71,13,18.3,13,27,31,10,1,0,9,2,4,2,0,92,128,71.9,1504,409,46,57,80.7,35,41,85.4,7,21,33.3,-0.4,6,4,4,1,11,FALSE,FALSE,FALSE,FALSE
Harry Kane,16,4,17,27,35,35,3082,34.2,23,14,19,0.67,0.41,1.08,0.55,0.96,20.5,17.5,7.4,24.8,0.6,0.22,0.81,0.51,0.73,18,12,3,12,3,5,20,25,15,391,99,25.3,21,190,180,30,13,1,17,15,33,41,0,657,937,70.1,12519,3835,300,385,77.9,236,316,74.7,102,170,60,6.6,48,98,41,7,125,FALSE,FALSE,FALSE,FALSE
N'Golo Kanté,18,7,5,29,30,24,2146,23.8,0,2,0,0,0.08,0.08,0,0.08,0.9,0.9,1.1,2,0.04,0.05,0.08,0.04,0.08,87,57,42,40,5,29,60,48.3,31,478,164,34.3,201,213,64,62,5,0,57,62,149,32,0,1302,1504,86.6,23870,5264,537,604,88.9,609,669,91,133,180,73.9,0.9,21,99,12,1,101,FALSE,FALSE,FALSE,FALSE
Michael Keane,16,1,7,27,35,33,2991,33.2,3,1,3,0.09,0.03,0.12,0.09,0.12,1.2,1.2,1.1,2.3,0.04,0.03,0.07,0.04,0.07,31,15,23,6,2,12,34,35.3,22,204,70,34.3,131,64,9,74,38,0,36,43,74,198,2,1631,1835,88.9,37031,11779,355,391,90.8,939,989,94.9,307,414,74.2,-0.1,8,104,6,0,87,FALSE,FALSE,FALSE,FALSE
Neeskens Kebano,10,6,8,28,5,1,119,1.3,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.22,0,0.22,0.22,0.22,1,1,1,0,0,1,3,33.3,2,30,9,30,4,13,13,5,0,0,5,0,1,1,0,33,42,78.6,409,99,25,25,100,6,11,54.5,1,3,33.3,0,0,1,0,0,2,FALSE,FALSE,FALSE,FALSE
Naby Keïta,22,7,11,25,10,7,520,5.8,0,0,0,0,0,0,0,0,0.5,0.5,0.8,1.3,0.09,0.14,0.23,0.09,0.23,7,5,4,2,1,2,18,11.1,16,144,37,25.7,18,75,51,11,0,0,11,12,19,6,0,311,356,87.4,5328,1190,143,166,86.1,133,141,94.3,27,35,77.1,-0.8,6,31,10,1,32,FALSE,FALSE,FALSE,FALSE
Jonjoe Kenny,16,1,7,23,4,1,79,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,11,1,9.1,4,4,3,2,0,0,2,1,2,1,0,47,61,77,783,221,28,29,96.6,13,20,65,6,8,75,0,0,3,1,0,4,FALSE,FALSE,FALSE,FALSE
Max Kilman,16,1,20,23,18,14,1310,14.6,0,1,0,0,0.07,0.07,0,0.07,0.4,0.4,0.5,1,0.03,0.04,0.07,0.03,0.07,27,20,21,3,3,10,20,50,10,148,44,29.7,105,36,7,20,9,0,11,18,45,58,0,648,731,88.6,12284,4172,245,258,95,337,361,93.4,62,104,59.6,0.5,4,52,2,0,40,FALSE,FALSE,FALSE,FALSE
Joshua King,38,9,7,28,11,0,148,1.6,0,0,0,0,0,0,0,0,0.8,0.8,0,0.8,0.48,0,0.48,0.48,0.48,4,1,2,0,2,1,1,100,0,44,11,25,14,17,13,3,0,0,3,1,5,1,0,34,48,70.8,561,108,16,23,69.6,15,18,83.3,3,4,75,0,0,0,1,0,4,FALSE,FALSE,FALSE,FALSE
Mateusz Klich,41,7,9,30,35,28,2393,26.6,4,5,2,0.15,0.19,0.34,0.08,0.26,3.3,1.8,3.9,5.7,0.13,0.15,0.27,0.07,0.22,52,43,19,25,8,10,59,16.9,49,570,165,28.9,129,319,122,21,4,0,17,17,69,23,0,1185,1495,79.3,20394,5286,580,666,87.1,427,517,82.6,136,221,61.5,1.1,46,105,41,6,140,FALSE,FALSE,FALSE,FALSE
Robin Koch,20,3,9,24,17,13,1132,12.6,0,0,0,0,0,0,0,0,0.8,0.8,0.2,1,0.06,0.01,0.08,0.06,0.08,29,18,16,13,0,12,24,50,12,183,48,26.2,91,80,12,31,14,0,17,13,42,40,2,648,757,85.6,13825,4119,141,169,83.4,407,429,94.9,92,146,63,-0.2,4,36,3,0,44,FALSE,FALSE,FALSE,FALSE
Ezri Konsa,16,1,2,22,36,35,3196,35.5,2,0,2,0.06,0,0.06,0.06,0.06,2.1,2.1,0.2,2.3,0.06,0.01,0.07,0.06,0.07,34,22,23,10,1,11,19,57.9,8,225,71,31.6,129,83,13,65,45,0,20,27,61,193,0,1076,1244,86.5,24314,5977,250,284,88,615,658,93.5,202,280,72.1,-0.2,1,38,2,0,36,FALSE,FALSE,FALSE,FALSE
Cheikhou Kouyaté,45,1,6,30,36,35,3121,34.7,1,0,1,0.03,0,0.03,0.03,0.03,0.8,0.8,0.2,1,0.02,0.01,0.03,0.02,0.03,70,36,53,14,3,26,45,57.8,19,350,109,31.1,230,102,18,62,28,0,34,38,108,162,2,959,1217,78.8,19698,6299,332,390,85.1,433,497,87.1,176,295,59.7,-0.2,6,39,3,1,33,FALSE,FALSE,FALSE,FALSE
Mateo Kovačić,12,7,5,26,27,21,1815,20.2,0,1,0,0,0.05,0.05,0,0.05,1,1,1.8,2.9,0.05,0.09,0.14,0.05,0.14,55,36,24,26,5,10,33,30.3,23,334,116,34.7,99,168,67,15,1,0,14,22,77,13,1,1580,1737,91,30881,7418,619,665,93.1,725,773,93.8,216,266,81.2,-0.8,23,164,24,0,165,FALSE,FALSE,FALSE,FALSE
Emil Krafth,49,1,14,25,16,14,1288,14.3,1,0,1,0.07,0,0.07,0.07,0.07,0.2,0.2,0.4,0.5,0.01,0.03,0.04,0.01,0.04,23,16,14,8,1,10,25,40,15,169,52,30.8,91,58,20,33,10,0,23,21,44,56,1,404,557,72.5,7198,3240,184,221,83.3,164,218,75.2,47,90,52.2,-0.4,6,23,3,3,19,FALSE,FALSE,FALSE,FALSE
Filip Krovinović,12,7,18,24,11,5,546,6.1,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,0.04,0.05,0.09,0.04,0.09,16,10,6,7,3,5,18,27.8,13,103,22,21.4,36,53,14,5,0,0,5,2,18,6,0,308,365,84.4,5338,1511,140,156,89.7,127,147,86.4,31,44,70.5,-0.3,5,37,7,0,40,FALSE,FALSE,FALSE,FALSE
Alexandre Lacazette,18,4,1,29,31,22,1923,21.4,13,2,10,0.61,0.09,0.7,0.47,0.56,9.7,7.4,2.7,10.1,0.46,0.13,0.58,0.35,0.47,25,19,6,12,7,4,16,25,12,329,107,32.5,40,135,154,17,2,0,15,14,39,13,0,410,524,78.2,6066,1247,225,283,79.5,135,158,85.4,27,44,61.4,-0.7,18,24,21,0,46,FALSE,FALSE,FALSE,FALSE
Adam Lallana,16,9,3,32,30,16,1596,17.7,1,1,1,0.06,0.06,0.11,0.06,0.11,2.4,2.4,2.8,5.3,0.14,0.16,0.3,0.14,0.3,32,26,15,12,5,10,48,20.8,38,339,113,33.3,112,153,74,26,3,0,23,16,48,14,0,793,936,84.7,12397,2974,413,460,89.8,294,339,86.7,56,83,67.5,-1.8,27,58,28,3,83,FALSE,FALSE,FALSE,FALSE
Érik Lamela,2,6,17,28,23,5,717,8,1,0,1,0.13,0,0.13,0.13,0.13,1.4,1.4,0.9,2.4,0.18,0.12,0.3,0.18,0.3,18,11,1,13,4,4,12,33.3,8,183,49,26.8,31,102,50,8,1,0,7,4,22,1,0,289,368,78.5,4889,1022,152,176,86.4,98,117,83.8,34,54,63,-0.9,8,22,10,0,29,FALSE,FALSE,FALSE,FALSE
Tariq Lamptey,16,1,3,19,11,11,886,9.8,1,1,1,0.1,0.1,0.2,0.1,0.2,0.6,0.6,1.1,1.7,0.06,0.11,0.17,0.06,0.17,17,10,9,6,2,7,14,50,7,124,41,33.1,49,53,22,15,1,0,14,13,30,17,0,390,500,78,6346,1711,209,234,89.3,141,188,75,32,56,57.1,-0.1,11,12,12,7,27,FALSE,FALSE,FALSE,FALSE
Manuel Lanzini,2,9,19,27,17,5,566,6.3,1,1,1,0.16,0.16,0.32,0.16,0.32,1.2,1.2,0.9,2,0.18,0.14,0.32,0.18,0.32,6,6,2,3,1,2,13,15.4,11,109,37,33.9,33,48,28,15,0,0,15,6,12,5,0,327,368,88.9,5291,1311,176,191,92.1,122,133,91.7,21,31,67.7,0.1,11,25,4,0,20,FALSE,FALSE,FALSE,FALSE
Aymeric Laporte,17,1,12,26,16,14,1344,14.9,0,0,0,0,0,0,0,0,0.8,0.8,0.7,1.5,0.05,0.05,0.1,0.05,0.1,13,6,10,3,0,3,9,33.3,6,81,24,29.6,48,27,6,18,8,0,10,8,21,53,1,1160,1261,92,24147,6963,353,372,94.9,624,651,95.9,179,224,79.9,-0.7,4,108,5,0,72,FALSE,FALSE,FALSE,FALSE
Jamaal Lascelles,16,1,14,26,19,19,1625,18.1,2,0,2,0.11,0,0.11,0.11,0.11,1,1,0,1,0.05,0,0.06,0.05,0.06,19,12,11,6,2,4,6,66.7,2,148,53,35.8,89,52,7,39,18,2,21,15,34,108,1,487,599,81.3,10618,3333,130,146,89,274,300,91.3,79,141,56,0,1,30,5,0,32,FALSE,FALSE,FALSE,FALSE
Maxime Le Marchand,18,1,8,30,2,1,123,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,2,1,2,0,0,1,1,100,0,9,2,22.2,6,2,1,0,0,0,0,0,2,7,0,78,82,95.1,1841,642,18,18,100,43,45,95.6,16,18,88.9,0,0,3,1,0,6,FALSE,FALSE,FALSE,FALSE
Mario Lemina,19,7,8,26,28,19,1703,18.9,1,0,1,0.05,0,0.05,0.05,0.05,0.9,0.9,0.8,1.8,0.05,0.04,0.09,0.05,0.09,61,36,30,23,8,19,40,47.5,21,317,105,33.1,123,152,42,28,6,0,22,43,104,37,0,734,860,85.3,15079,3711,244,278,87.8,358,399,89.7,116,163,71.2,-0.8,10,60,15,1,56,FALSE,FALSE,FALSE,FALSE
Khanya Leshabela,43,7,10,20,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,100,0,4,0,0,0,2,2,0,0,0,0,0,1,0,0,7,9,77.8,98,38,4,5,80,1,1,100,1,1,100,0,0,1,0,0,1,FALSE,FALSE,FALSE,FALSE
Jamal Lewis,37,1,14,22,24,20,1837,20.4,0,1,0,0,0.05,0.05,0,0.05,0.2,0.2,1.6,1.8,0.01,0.08,0.09,0.01,0.09,50,26,34,14,2,21,41,51.2,20,336,81,24.1,180,122,34,35,7,0,28,20,70,35,1,635,833,76.2,11069,4545,307,349,88,244,303,80.5,70,139,50.4,-0.6,15,34,16,10,31,FALSE,FALSE,FALSE,FALSE
Victor Lindelöf,49,1,13,26,29,29,2585,28.7,1,1,1,0.03,0.03,0.07,0.03,0.07,0.7,0.7,0.7,1.3,0.02,0.02,0.05,0.02,0.05,26,16,17,9,0,12,21,57.1,9,192,67,34.9,117,67,8,40,17,0,23,32,58,132,2,1640,1800,91.1,32452,10570,539,571,94.4,895,933,95.9,191,264,72.3,0.3,6,99,6,0,92,FALSE,FALSE,FALSE,FALSE
Jesse Lingard,16,9,19,27,16,16,1421,15.8,9,4,8,0.57,0.25,0.82,0.51,0.76,5.1,3.4,1.5,4.9,0.32,0.09,0.42,0.22,0.31,15,10,5,7,3,5,16,31.3,11,335,71,21.2,48,186,101,7,1,0,6,7,22,1,0,544,669,81.3,8598,2289,303,343,88.3,171,201,85.1,48,83,57.8,2.5,17,58,26,4,65,FALSE,FALSE,FALSE,FALSE
Jake Livermore,16,7,18,30,18,15,1242,13.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,0.02,0.02,0.03,0.02,0.03,29,19,10,17,2,11,32,34.4,21,244,67,27.5,75,132,37,33,7,0,26,19,48,33,0,283,381,74.3,4982,1148,125,152,82.2,110,146,75.3,37,63,58.7,-0.2,5,29,2,1,25,FALSE,FALSE,FALSE,FALSE
Diego Llorente,17,1,9,26,15,14,1204,13.4,1,0,1,0.07,0,0.07,0.07,0.07,0.7,0.7,0.6,1.4,0.06,0.05,0.1,0.06,0.1,39,27,24,15,0,16,26,61.5,10,250,89,35.6,152,94,4,25,13,0,12,41,80,72,1,568,665,85.4,13050,3174,94,108,87,370,405,91.4,99,136,72.8,-0.6,4,28,1,0,23,FALSE,FALSE,FALSE,FALSE
Giovani Lo Celso,2,7,17,24,18,11,945,10.5,1,1,1,0.1,0.1,0.19,0.1,0.19,1.2,1.2,1.3,2.4,0.11,0.12,0.23,0.11,0.23,33,23,16,11,6,10,31,32.3,21,290,91,31.4,94,148,48,11,1,0,10,8,41,9,0,465,589,78.9,8364,2205,223,251,88.8,170,206,82.5,62,101,61.4,-0.3,14,44,11,0,58,FALSE,FALSE,FALSE,FALSE
Kevin Long,23,1,4,29,8,7,637,7.1,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.04,0,0.04,0.04,0.04,14,8,10,4,0,5,8,62.5,3,53,20,37.7,34,18,1,9,5,0,4,4,18,31,0,181,255,71,4324,1387,41,50,82,91,116,78.4,46,80,57.5,0,0,9,2,0,15,FALSE,FALSE,FALSE,FALSE
Shane Long,23,6,16,33,11,1,210,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,2,0,0,0,2,1,3,33.3,2,34,7,20.6,2,19,13,1,0,0,1,2,4,1,0,38,59,64.4,494,168,27,34,79.4,8,16,50,2,2,100,0,0,3,0,0,4,FALSE,FALSE,FALSE,FALSE
Matthew Longstaff,16,7,14,20,5,4,377,4.2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.02,0.02,0,0.02,4,3,4,0,0,2,6,33.3,4,98,25,25.5,30,58,10,9,0,0,9,6,10,3,0,117,148,79.1,2121,341,53,64,82.8,44,50,88,19,30,63.3,-0.1,2,4,1,1,3,FALSE,FALSE,FALSE,FALSE
Sean Longstaff,16,7,14,22,22,15,1412,15.7,0,1,0,0,0.06,0.06,0,0.06,1.4,1.4,1.1,2.5,0.09,0.07,0.16,0.09,0.16,36,21,16,17,3,21,60,35,39,398,99,24.9,168,184,46,29,4,0,25,19,55,21,1,452,572,79,9478,2178,174,197,88.3,176,200,88,89,147,60.5,-0.1,11,41,2,1,40,FALSE,FALSE,FALSE,FALSE
Ademola Lookman,16,6,8,22,34,31,2747,30.5,4,4,4,0.13,0.13,0.26,0.13,0.26,5.5,4.8,5.2,10,0.18,0.17,0.35,0.16,0.33,38,29,12,19,7,5,35,14.3,30,516,155,30,110,230,176,42,2,0,40,25,63,13,0,880,1168,75.3,14977,4309,419,491,85.3,351,426,82.4,86,178,48.3,-1.2,60,46,42,5,105,FALSE,FALSE,FALSE,FALSE
Max Lowe,16,1,15,23,8,7,550,6.1,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.01,0.03,0.04,0.01,0.04,23,14,20,2,1,7,20,35,13,130,37,28.5,60,51,19,21,3,0,18,3,26,12,1,145,223,65,2360,772,79,99,79.8,50,75,66.7,13,34,38.2,-0.2,3,14,5,1,16,FALSE,FALSE,FALSE,FALSE
Matthew Lowton,16,1,4,31,34,34,3060,34,1,1,1,0.03,0.03,0.06,0.03,0.06,0.7,0.7,2.3,3,0.02,0.07,0.09,0.02,0.09,67,36,36,29,2,33,76,43.4,43,290,84,29,134,114,42,66,14,0,52,55,122,116,2,1031,1498,68.8,20277,9177,479,529,90.5,358,498,71.9,181,430,42.1,-1.3,24,120,43,10,131,FALSE,FALSE,FALSE,FALSE
David Luiz,7,1,1,33,20,17,1396,15.5,1,0,1,0.06,0,0.06,0.06,0.06,0.9,0.9,0.4,1.3,0.06,0.03,0.09,0.06,0.09,15,9,7,8,0,5,7,71.4,2,95,37,38.9,51,39,5,23,11,0,12,12,27,67,0,807,965,83.6,18737,5266,176,193,91.2,442,474,93.2,183,279,65.6,-0.4,2,66,8,0,61,FALSE,FALSE,FALSE,FALSE
Douglas Luiz,7,7,2,22,33,32,2781,30.9,0,2,0,0,0.06,0.06,0,0.06,1.5,1.5,1.5,3,0.05,0.05,0.1,0.05,0.1,63,43,28,30,5,18,61,29.5,43,617,160,25.9,240,304,73,60,18,0,42,33,96,49,0,1213,1431,84.8,25157,5670,426,472,90.3,536,596,89.9,226,302,74.8,0.5,19,127,15,3,106,FALSE,FALSE,FALSE,FALSE
John Lundstram,16,7,15,26,28,23,2032,22.6,0,2,0,0,0.09,0.09,0,0.09,2,1.3,1.2,2.5,0.09,0.05,0.14,0.06,0.11,26,12,9,14,3,9,43,20.9,34,350,75,21.4,108,172,70,39,8,0,31,21,47,34,1,843,1041,81,15138,3357,392,423,92.7,335,380,88.2,95,191,49.7,0.8,19,59,12,2,59,FALSE,FALSE,FALSE,FALSE
Alexis Mac Allister,2,9,3,21,21,13,1115,12.4,1,1,1,0.08,0.08,0.16,0.08,0.16,1.1,1.1,2.4,3.5,0.09,0.19,0.28,0.09,0.28,25,18,9,12,4,7,32,21.9,25,267,85,31.8,67,114,86,20,3,0,17,11,36,5,0,323,407,79.4,5542,1298,153,182,84.1,123,148,83.1,35,48,72.9,-1.4,15,24,17,0,36,FALSE,FALSE,FALSE,FALSE
James Maddison,16,9,10,23,31,24,2099,23.3,8,5,8,0.34,0.21,0.56,0.34,0.56,4.4,4.4,5.3,9.7,0.19,0.23,0.42,0.19,0.42,37,27,4,20,13,9,28,32.1,19,344,94,27.3,57,176,111,13,1,0,12,11,48,6,0,863,1116,77.3,15126,4144,432,490,88.2,304,364,83.5,107,205,52.2,-0.3,52,86,35,5,101,FALSE,FALSE,FALSE,FALSE
Harry Maguire,16,1,13,27,34,34,3047,33.9,2,1,2,0.06,0.03,0.09,0.06,0.09,2.1,2.1,0.3,2.4,0.06,0.01,0.07,0.06,0.07,30,18,20,10,0,14,26,53.8,12,191,67,35.1,107,76,8,45,24,0,21,61,91,176,1,1904,2139,89,42647,12352,484,532,91,1024,1097,93.3,382,483,79.1,0.7,7,194,8,1,104,FALSE,FALSE,FALSE,FALSE
Riyad Mahrez,1,4,12,29,27,23,1949,21.7,9,6,9,0.42,0.28,0.69,0.42,0.69,5.6,5.6,5.9,11.5,0.26,0.27,0.53,0.26,0.53,20,15,3,9,8,8,35,22.9,27,253,59,23.3,26,113,114,24,1,0,23,6,26,3,0,914,1086,84.2,14951,3135,491,535,91.8,339,390,86.9,68,113,60.2,0.1,41,35,52,6,88,FALSE,FALSE,FALSE,FALSE
Ainsley Maitland-Niles,16,1,1,22,11,5,490,5.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.02,0.04,0.06,0.02,0.06,17,11,9,6,2,8,11,72.7,3,113,25,22.1,48,44,21,13,3,0,10,13,30,12,1,226,288,78.5,4033,1102,109,126,86.5,93,108,86.1,22,42,52.4,-0.2,3,15,3,1,14,FALSE,FALSE,FALSE,FALSE
Josh Maja,36,6,8,21,15,9,810,9,3,0,2,0.33,0,0.33,0.22,0.22,4.8,4,1.1,5.1,0.53,0.12,0.65,0.45,0.57,7,6,1,3,3,2,7,28.6,5,113,35,31,8,49,56,5,1,0,4,4,11,2,0,157,179,87.7,2511,198,84,93,90.3,53,56,94.6,14,15,93.3,-1.1,8,4,4,0,7,FALSE,FALSE,FALSE,FALSE
Sadio Mané,45,4,11,28,35,31,2810,31.2,11,7,11,0.35,0.22,0.58,0.35,0.58,15.2,15.2,5.7,20.9,0.49,0.18,0.67,0.49,0.67,42,32,8,18,16,9,26,34.6,17,467,158,33.8,65,167,235,39,2,0,37,15,57,7,0,802,1064,75.4,13522,2878,405,502,80.7,287,361,79.5,88,124,71,1.3,57,37,67,10,105,FALSE,FALSE,FALSE,FALSE
Javier Manquillo,17,1,14,26,13,10,825,9.2,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0,0.03,0.03,0,0.03,27,14,10,14,3,9,15,60,6,123,33,26.8,44,46,33,17,2,0,15,8,35,21,0,296,400,74,4706,2027,172,187,92,92,133,69.2,25,56,44.6,-0.2,4,15,4,2,21,FALSE,FALSE,FALSE,FALSE
Fernando Marçal,7,1,20,31,13,7,623,6.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.01,0.02,0.03,0.01,0.03,10,4,5,5,0,2,7,28.6,5,72,20,27.8,31,28,13,19,2,0,17,8,18,23,0,306,370,82.7,5445,2032,157,168,93.5,114,136,83.8,34,56,60.7,-0.2,4,15,2,1,24,FALSE,FALSE,FALSE,FALSE
Solly March,16,1,3,26,21,19,1672,18.6,2,1,2,0.11,0.05,0.16,0.11,0.16,1.7,1.7,1.7,3.4,0.09,0.09,0.18,0.09,0.18,56,35,29,18,9,15,33,45.5,18,240,71,29.6,86,84,70,50,6,0,44,19,75,16,0,681,975,69.8,12847,4328,319,374,85.3,261,350,74.6,94,205,45.9,-0.7,27,39,34,13,77,FALSE,FALSE,FALSE,FALSE
Pablo Marí,17,1,1,26,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,11,3,0,4,11,36.4,7,68,27,39.7,41,25,2,13,7,0,6,5,19,56,0,537,592,90.7,10977,2753,162,170,95.3,294,301,97.7,76,113,67.3,0,0,20,0,0,19,FALSE,FALSE,FALSE,FALSE
