Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG,npxG,xA,npxG+xA,xG per 90,xA per 90,xG+xA per 90,npxG per 90,npxG+xA per 90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_x,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Cmp,Att_y,Cmp%,TotDist,PrgDist,Cmp short,Att short,Cmp% short,Cmp medium,Att medium,Cmp% medium,Cmp long,Att long,Cmp% long,A-xA,KP,1/3,PPA,CrsPA,Prog,Player_is_missing,Nation_is_missing,Pos_is_missing,Squad_is_missing
Luke Ayling,16,1,9,28,38,38,3399,37.8,0,0,0,0,0,0,0,0,1.4,1.4,2.6,4,0.04,0.07,0.1,0.04,0.1,114,67,70,34,10,42,89,47.2,47,533,187,35.1,283,197,53,81,34,1,47,58,172,111,2,2109,2661,79.3,42931,17225,763,864,88.3,997,1147,86.9,331,573,57.8,-2.6,25,177,35,12,203,FALSE,FALSE,FALSE,FALSE
César Azpilicueta,17,1,5,30,26,24,2188,24.3,1,2,1,0.04,0.08,0.12,0.04,0.12,0.8,0.8,2.6,3.4,0.03,0.11,0.14,0.03,0.14,52,31,23,23,6,21,35,60,14,346,106,30.6,153,141,52,37,7,0,30,37,89,97,1,1763,2015,87.5,30771,11059,750,804,93.3,873,953,91.6,119,201,59.2,-0.6,26,130,25,5,116,FALSE,FALSE,FALSE,FALSE
Eric Bailly,8,1,13,26,12,10,916,10.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01,9,6,5,3,1,1,1,100,0,55,22,40,27,26,2,17,15,0,2,22,31,51,0,494,547,90.3,10384,3113,139,148,93.9,281,304,92.4,71,91,78,0,0,28,0,0,29,FALSE,FALSE,FALSE,FALSE
Fabián Balbuena,40,1,19,28,14,13,1198,13.3,1,0,1,0.08,0,0.08,0.08,0.08,0.6,0.6,0,0.6,0.05,0,0.05,0.05,0.05,24,14,20,4,0,12,24,50,12,134,45,33.6,88,44,2,25,6,1,19,14,38,89,1,357,465,76.8,8603,3296,77,88,87.5,187,213,87.8,89,154,57.8,0,0,33,0,0,30,FALSE,FALSE,FALSE,FALSE
George Baldock,16,1,15,27,32,32,2787,31,0,2,0,0,0.06,0.06,0,0.06,1.1,1.1,1.7,2.8,0.04,0.05,0.09,0.04,0.09,55,27,31,17,7,24,49,49,25,464,113,24.4,198,174,92,46,8,1,38,35,90,82,0,911,1160,78.5,13856,4559,530,578,91.7,302,386,78.2,53,121,43.8,0.3,17,39,29,8,61,FALSE,FALSE,FALSE,FALSE
Gareth Bale,54,4,17,31,20,10,920,10.2,11,2,11,1.08,0.2,1.27,1.08,1.27,5.3,5.3,1.9,7.2,0.52,0.19,0.71,0.52,0.71,14,9,4,6,4,4,13,30.8,9,125,34,27.2,27,54,44,16,2,0,14,9,23,17,0,284,408,69.6,5574,1778,141,170,82.9,81,115,70.4,53,95,55.8,0.1,20,23,16,6,32,FALSE,FALSE,FALSE,FALSE
Patrick Bamford,16,4,9,26,38,37,3050,33.9,17,7,15,0.5,0.21,0.71,0.44,0.65,17.3,15.7,4.1,19.8,0.51,0.12,0.63,0.46,0.59,26,18,6,12,8,6,30,20,24,605,172,28.4,33,261,311,16,9,1,7,13,39,35,0,386,506,76.3,5231,872,224,287,78,110,135,81.5,22,27,81.5,2.9,29,21,13,2,31,FALSE,FALSE,FALSE,FALSE
Phil Bardsley,44,1,4,35,4,3,274,3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0,0.04,0.04,0.04,6,4,5,1,0,2,4,50,2,39,9,23.1,17,19,3,4,1,0,3,3,9,14,0,116,165,70.3,2256,949,47,49,95.9,51,67,76.1,16,40,40,0,0,9,6,1,11,FALSE,FALSE,FALSE,FALSE
Ashley Barnes,16,4,4,30,22,15,1331,14.8,3,0,2,0.2,0,0.2,0.14,0.14,5.1,4.4,0.7,5.1,0.35,0.04,0.39,0.3,0.34,16,6,2,7,7,4,12,33.3,8,202,52,25.7,24,77,101,15,3,0,12,5,21,9,0,195,307,63.5,2579,574,129,173,74.6,45,74,60.8,8,29,27.6,-0.7,13,13,7,1,20,FALSE,FALSE,FALSE,FALSE
Harvey Barnes,16,6,10,22,25,22,1945,21.6,9,4,9,0.42,0.19,0.6,0.42,0.6,6.2,6.2,1.5,7.7,0.29,0.07,0.35,0.29,0.35,22,14,9,6,7,4,19,21.1,15,227,69,30.4,61,91,75,24,4,0,20,16,38,13,0,468,626,74.8,7239,1875,265,331,80.1,157,198,79.3,33,51,64.7,2.5,25,37,19,2,62,FALSE,FALSE,FALSE,FALSE
Kyle Bartley,16,1,18,29,30,28,2584,28.7,3,1,3,0.1,0.03,0.14,0.1,0.14,2.1,2.1,0.2,2.4,0.07,0.01,0.08,0.07,0.08,26,18,15,10,1,10,32,31.3,22,231,76,32.9,135,82,14,74,37,1,37,31,57,202,2,630,809,77.9,13475,4389,195,237,82.3,323,374,86.4,105,185,56.8,0.8,4,52,3,1,30,FALSE,FALSE,FALSE,FALSE
Chris Basham,16,3,15,32,31,31,2576,28.6,0,1,0,0,0.03,0.03,0,0.03,0.8,0.8,0.8,1.6,0.03,0.03,0.05,0.03,0.05,76,46,48,22,6,37,70,52.9,33,383,115,30,201,137,45,49,15,5,34,45,121,124,1,900,1105,81.4,16284,4713,404,451,89.6,377,444,84.9,105,169,62.1,0.2,10,54,15,7,62,FALSE,FALSE,FALSE,FALSE
