Rk,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG,npxG,xA,npxG+xA,xG per 90,xA per 90,xG+xA per 90,npxG per 90,npxG+xA per 90
115,Ben Davies,WAL,DF,Tottenham,27,20,14,1346,15,0,1,0,0,0.07,0.07,0,0.07,0.2,0.2,0.6,0.9,0.01,0.04,0.06,0.01,0.06
116,Tom Davies,ENG,MF,Everton,22,25,17,1423,15.8,0,1,0,0,0.06,0.06,0,0.06,0.2,0.2,1,1.1,0.01,0.06,0.07,0.01,0.07
117,Keinan Davis,ENG,FWMF,Aston Villa,22,15,1,277,3.1,1,1,1,0.32,0.32,0.65,0.32,0.65,1,1,0.5,1.5,0.34,0.16,0.49,0.34,0.49
118,Leif Davis,ENG,DF,Leeds United,20,2,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Craig Dawson,ENG,DF,West Ham,30,22,22,1925,21.4,3,0,3,0.14,0,0.14,0.14,0.14,1.7,1.7,0,1.7,0.08,0,0.08,0.08,0.08
120,Kevin De Bruyne,BEL,MF,Manchester City,29,25,23,1997,22.2,6,12,4,0.27,0.54,0.81,0.18,0.72,9.7,7.4,10.2,17.6,0.44,0.46,0.9,0.34,0.79
121,Liam Delap,ENG,FW,Manchester City,17,1,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06
122,Fabian Delph,ENG,MFDF,Everton,30,8,2,266,3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0.03,0.04,0.01,0.04
123,Leander Dendoncker,BEL,MFDF,Wolves,25,33,28,2503,27.8,1,0,1,0.04,0,0.04,0.04,0.04,3.3,3.3,0.7,4,0.12,0.03,0.14,0.12,0.14
124,Mbaye Diagne,SEN,FW,West Brom,28,16,14,1189,13.2,3,2,3,0.23,0.15,0.38,0.23,0.38,5,5,1.7,6.7,0.38,0.13,0.51,0.38,0.51
125,Amad Diallo,CIV,FW,Manchester Utd,18,3,2,166,1.8,0,1,0,0,0.54,0.54,0,0.54,0,0,0.5,0.5,0.02,0.26,0.29,0.02,0.29
126,Ibrahima Diallo,FRA,MF,Southampton,21,22,10,1020,11.3,0,0,0,0,0,0,0,0,0.6,0.6,0.6,1.2,0.05,0.05,0.11,0.05,0.11
127,Grady Diangana,ENG,MFFW,West Brom,22,20,15,1235,13.7,1,0,1,0.07,0,0.07,0.07,0.07,1.2,1.2,0.2,1.4,0.09,0.01,0.1,0.09,0.1
128,Raphael Dias Belloli,BRA,MF,Leeds United,23,30,26,2360,26.2,6,9,6,0.23,0.34,0.57,0.23,0.57,6,6,8.1,14.1,0.23,0.31,0.54,0.23,0.54
129,Rúben Dias,POR,DF,Manchester City,23,32,32,2843,31.6,1,0,1,0.03,0,0.03,0.03,0.03,2.4,2.4,0.1,2.4,0.07,0,0.08,0.07,0.08
130,Eric Dier,ENG,DF,Tottenham,26,28,28,2520,28,0,0,0,0,0,0,0,0,0.9,0.9,0.1,1,0.03,0,0.03,0.03,0.03
131,Lucas Digne,FRA,DF,Everton,27,30,30,2681,29.8,0,7,0,0,0.23,0.23,0,0.23,0.6,0.6,5.4,6,0.02,0.18,0.2,0.02,0.2
132,Virgil van Dijk,NED,DF,Liverpool,29,5,5,370,4.1,1,0,1,0.24,0,0.24,0.24,0.24,0.3,0.3,0,0.3,0.08,0,0.08,0.08,0.08
133,Issa Diop,FRA,DF,West Ham,23,18,15,1381,15.3,2,0,2,0.13,0,0.13,0.13,0.13,0.3,0.3,0,0.3,0.02,0,0.02,0.02,0.02
134,Moussa Djenepo,MLI,MF,Southampton,22,27,15,1240,13.8,1,0,1,0.07,0,0.07,0.07,0.07,0.9,0.9,0.6,1.5,0.07,0.04,0.11,0.07,0.11
135,Matt Doherty,IRL,DF,Tottenham,28,17,13,1240,13.8,0,2,0,0,0.15,0.15,0,0.15,0.4,0.4,0.8,1.2,0.03,0.06,0.09,0.03,0.09
136,Gabriel Dos Santos,BRA,DF,Arsenal,22,23,22,1996,22.2,2,0,2,0.09,0,0.09,0.09,0.09,1,1,0.1,1.1,0.05,0,0.05,0.05,0.05
137,Abdoulaye Doucouré,FRA,MF,Everton,27,29,29,2443,27.1,2,3,2,0.07,0.11,0.18,0.07,0.18,2.1,2.1,2.2,4.3,0.08,0.08,0.16,0.08,0.16
138,Martin Dúbravka,SVK,GK,Newcastle Utd,31,13,13,1170,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Paul Dummett,WAL,DF,Newcastle Utd,28,15,14,1255,13.9,1,0,1,0.07,0,0.07,0.07,0.07,0.3,0.3,0.5,0.8,0.02,0.04,0.06,0.02,0.06
140,Lewis Dunk,ENG,DF,Brighton,28,33,33,2931,32.6,5,0,5,0.15,0,0.15,0.15,0.15,2.5,2.5,0.9,3.4,0.08,0.03,0.1,0.08,0.1
141,Jimmy Dunne,IRL,DF,Burnley,22,3,3,270,3,1,0,1,0.33,0,0.33,0.33,0.33,0.4,0.4,0.1,0.5,0.14,0.04,0.17,0.14,0.17
142,Ederson,BRA,GK,Manchester City,26,36,36,3240,36,0,1,0,0,0.03,0.03,0,0.03,0,0,0.4,0.4,0,0.01,0.01,0,0.01
