Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG,npxG,xA,npxG+xA,xG per 90,xA per 90,xG+xA per 90,npxG per 90,npxG+xA per 90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_x,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Cmp,Att_y,Cmp%,TotDist,PrgDist,Cmp short,Att short,Cmp% short,Cmp medium,Att medium,Cmp% medium,Cmp long,Att long,Cmp% long,A-xA,KP,1/3,PPA,CrsPA,Prog
Edinson Cavani,URU,FW,Manchester Utd,33.0,26,13,1375,15.3,10,3,10,0.65,0.2,0.85,0.65,0.85,7.4,7.4,2.7,10.1,0.48,0.17,0.66,0.48,0.66,15,11,1,8,6,3,12,25.0,9,210,59,28.1,16,76,118,6,1,0,5,10,25,11,0,270,343,78.7,4517,627,134,163,82.2,95,113,84.1,30,36,83.3,0.3,15,16,13,1,18
Dani Ceballos,ESP,MF,Arsenal,23.0,25,17,1615,17.9,0,3,0,0.0,0.17,0.17,0.0,0.17,0.7,0.7,2.9,3.6,0.04,0.16,0.2,0.04,0.2,40,33,19,12,9,13,49,26.5,36,281,75,26.7,121,100,60,29,7,1,22,24,64,21,0,1112,1286,86.5,22027,5182,415,457,90.8,511,558,91.6,172,230,74.8,0.1,27,131,22,3,107
Calum Chambers,ENG,DF,Arsenal,25.0,10,8,753,8.4,0,2,0,0.0,0.24,0.24,0.0,0.24,0.6,0.6,1.1,1.7,0.07,0.14,0.21,0.07,0.21,9,3,4,3,2,3,10,30.0,7,95,28,29.5,50,30,15,16,3,0,13,14,23,45,0,462,575,80.3,8301,2388,206,231,89.2,204,241,84.6,47,85,55.3,0.9,11,24,9,5,23
Ben Chilwell,ENG,DF,Chelsea,23.0,27,27,2286,25.4,3,5,3,0.12,0.2,0.31,0.12,0.31,2.4,2.4,2.8,5.3,0.1,0.11,0.21,0.1,0.21,46,29,19,20,7,16,37,43.2,21,323,102,31.6,133,131,59,65,3,0,62,29,75,66,0,1419,1806,78.6,24038,8064,710,781,90.9,557,684,81.4,122,262,46.6,2.2,30,87,26,11,127
Hamza Choudhury,ENG,MF,Leicester City,22.0,10,4,316,3.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.11,0.0,0.11,0.11,0.11,11,7,5,6,0,2,10,20.0,8,53,18,34.0,18,31,4,9,2,0,7,5,16,6,1,190,235,80.9,3682,616,73,92,79.3,89,102,87.3,25,34,73.5,0.0,0,13,0,0,8
Andreas Christensen,DEN,DF,Chelsea,24.0,17,15,1371,15.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,0.01,0.02,0.03,0.01,0.03,20,12,14,4,2,5,11,45.5,6,103,38,36.9,56,38,9,26,15,0,11,26,46,80,1,1011,1089,92.8,21334,5754,295,316,93.4,551,578,95.3,158,183,86.3,-0.4,6,44,3,0,46
Carney Chukwuemeka,ENG,FWMF,Aston Villa,16.0,2,0,20,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.29,0.0,0.29,0.29,0.29,2,2,1,0,1,1,3,33.3,2,14,3,21.4,6,4,4,1,0,0,1,0,2,0,0,5,8,62.5,88,10,3,3,100.0,1,2,50.0,1,2,50.0,0.0,0,0,0,0,0
Ciaran Clark,IRL,DF,Newcastle Utd,30.0,22,21,1891,21.0,1,0,1,0.05,0.0,0.05,0.05,0.05,0.3,0.3,0.1,0.4,0.02,0.0,0.02,0.02,0.02,27,14,18,7,2,3,10,30.0,7,156,49,31.4,102,42,12,45,20,0,25,26,53,134,3,620,747,83.0,12686,3922,198,227,87.2,312,345,90.4,102,157,65.0,-0.1,2,35,2,0,35
Nathaniel Clyne,ENG,DF,Crystal Palace,29.0,13,13,1145,12.7,0,1,0,0.0,0.08,0.08,0.0,0.08,0.1,0.1,0.4,0.5,0.01,0.03,0.04,0.01,0.04,21,9,14,7,0,9,16,56.3,7,117,31,26.5,73,29,15,25,2,0,23,13,34,32,0,437,569,76.8,6908,2752,232,258,89.9,164,205,80.0,30,75,40.0,0.6,4,20,13,6,25
Conor Coady,ENG,DF,Wolves,27.0,37,37,3303,36.7,1,0,1,0.03,0.0,0.03,0.03,0.03,1.3,1.3,0.1,1.4,0.03,0.0,0.04,0.03,0.04,31,23,23,8,0,14,37,37.8,23,203,71,35.0,149,52,2,59,39,2,20,25,56,163,1,1576,1789,88.1,40617,14316,287,303,94.7,810,846,95.7,470,618,76.1,-0.1,2,78,1,0,59
