,Player,Market Value (Millions USD)
170,Emile Smith Rowe,19.8
171,Gabriel Martinelli,24.2
172,Nicolas Pépé,38.5
173,Willian,9.9
174,Reiss Nelson,9.9
175,Alexandre Lacazette,30.8
176,Pierre-Emerick Aubameyang,27.5
177,Eddie Nketiah,17.6
178,Emiliano Martínez,33.0
179,Lovre Kalinic,2.75
180,Tom Heaton,1.1
181,Jed Steer,0.88
182,Tyrone Mings,33.0
183,Ezri Konsa,27.5
184,Kortney Hause,5.5
185,Björn Engels,3.3
186,Matt Targett,18.7
187,Neil Taylor,1.65
188,Matty Cash,24.2
189,Frédéric Guilbert,6.6
190,Ahmed Elmohamady,1.65
191,Douglas Luiz,38.5
192,Marvelous Nakamba,7.7
193,John McGinn,33.0
194,Morgan Sanson,17.6
195,Conor Hourihane,3.85
196,Jacob Ramsey,5.5
197,Jack Grealish,71.5
198,Trezeguet,11.0
199,Bertrand Traoré,22.0
200,Anwar El Ghazi,14.3
201,Ollie Watkins,35.2
202,Wesley,14.3
203,Mbwana Samatta,4.62
204,Keinan Davis,3.3
205,Jack Butland,2.2
206,Vicente Guaita,2.2
207,Wayne Hennessey,1.1
208,Stephen Henderson,0.33
209,Cheikhou Kouyaté,6.6
210,Mamadou Sakho,6.6
211,Nathan Ferguson,4.4
212,James Tomkins,2.75
213,Scott Dann,1.65
214,Gary Cahill,1.65
215,Jaroslaw Jach,0.715
216,Sam Woods,0.22
217,Patrick van Aanholt,7.7
218,Tyrick Mitchell,7.7
219,Nathaniel Clyne,3.3
220,Joel Ward,2.75
221,Martin Kelly,1.65
222,Luka Milivojevic,8.8
223,Jairo Riedewald,8.8
224,James McCarthy,3.3
225,James McArthur,2.2
226,Jeffrey Schlupp,9.9
227,Eberechi Eze,22.0
228,Wilfried Zaha,49.5
229,Andros Townsend,7.7
230,Jean-Philippe Mateta,14.3
231,Christian Benteke,9.9
232,Jordan Ayew,8.8
233,Connor Wickham,1.1
234,Jordan Pickford,24.2
235,João Virgínia,1.1
236,Michael Keane,27.5
237,Ben Godfrey,27.5
238,Mason Holgate,22.0
239,Yerry Mina,22.0
240,Jarrad Branthwaite,3.3
241,Matthew Pennington,0.66
242,Lucas Digne,38.5
243,Niels Nkounkou,3.3
244,Jonjoe Kenny,6.38
245,Seamus Coleman,5.5
246,Jean-Philippe Gbamin,16.5
247,Muhamed Besic,1.65
248,Abdoulaye Doucouré,27.5
249,Allan,24.2
250,André Gomes,22.0
251,Tom Davies,19.8
252,Fabian Delph,3.85
253,Beni Baningime,1.1
254,James Rodríguez,30.8
255,Gylfi Sigurdsson,14.3
256,Alex Iwobi,24.2
257,Bernard,13.2
258,Anthony Gordon,5.5
259,Yannick Bolasie,1.65
260,Theo Walcott,5.5
261,Joshua King,8.8
262,Richarlison,60.5
263,Freddie Woodman,11.0
264,Martin Dubravka,5.5
265,Karl Darlow,3.3
266,Mark Gillespie,0.44
267,Jamaal Lascelles,14.3
268,Fabian Schär,9.9
269,Florian Lejeune,4.95
270,Ciaran Clark,3.3
271,Federico Fernández,3.3
272,Jamal Lewis,16.5
273,Paul Dummett,3.3
274,Matt Ritchie,3.3
275,Emil Krafth,3.85
276,Javier Manquillo,3.3
277,Isaac Hayden,11.0
278,Sean Longstaff,16.5
279,Jonjo Shelvey,14.3
280,Jeff Hendrick,9.9
281,Matthew Longstaff,5.5
282,Miguel Almirón,17.6
283,Henri Saivet,0.88
284,Allan Saint-Maximin,33.0
285,Ryan Fraser,11.0
286,Christian Atsu,1.65
287,Jacob Murphy,4.4
288,Callum Wilson,24.2
289,Joelinton,18.7
290,Dwight Gayle,4.4
291,Yoshinori Muto,2.75
292,Andy Carroll,1.65
293,Kasper Schmeichel,6.6
294,Danny Ward,6.6
295,Eldin Jakupovic,0.33
296,Caglar Söyüncü,49.5
297,Wesley Fofana,44.0
298,Jonny Evans,7.7
299,Filip Benkovic,3.08
300,Wes Morgan,0.44
301,Sam Hughes,15.52
302,Luke Thomas,5.5
303,Christian Fuchs,0.88
304,Ricardo Pereira,33.0
305,Timothy Castagne,30.8
306,James Justin,18.7
307,Wilfred Ndidi,66.0
308,Nampalys Mendy,8.8
309,Daniel Amartey,5.5
310,Youri Tielemans,60.5
311,Dennis Praet,19.8
312,Hamza Choudhury,7.7
313,Matty James,1.1
314,Marc Albrighton,4.4
315,Harvey Barnes,38.5
316,James Maddison,60.5
317,Rachid Ghezzal,13.2
318,Ayoze Pérez,19.8
319,Kelechi Iheanacho,22.0
320,Jamie Vardy,7.7
321,Freddie Woodman,11.0
322,Martin Dubravka,5.5
323,Karl Darlow,3.3
324,Mark Gillespie,0.44
325,Jamaal Lascelles,14.3
326,Fabian Schär,9.9
327,Florian Lejeune,4.95
328,Ciaran Clark,3.3
329,Federico Fernández,3.3
330,Jamal Lewis,16.5
331,Paul Dummett,3.3
332,Matt Ritchie,3.3
333,Emil Krafth,3.85
334,Javier Manquillo,3.3
335,Isaac Hayden,11.0
336,Sean Longstaff,16.5
337,Jonjo Shelvey,14.3
338,Jeff Hendrick,9.9
339,Matthew Longstaff,5.5
340,Miguel Almirón,17.6
341,Henri Saivet,0.88
342,Allan Saint-Maximin,33.0
343,Ryan Fraser,11.0
344,Christian Atsu,1.65
345,Jacob Murphy,4.4
346,Callum Wilson,24.2
347,Joelinton,18.7
348,Dwight Gayle,4.4
349,Yoshinori Muto,2.75
350,Andy Carroll,1.65
351,Aaron Ramsdale,13.2
352,Michael Verrips,0.99
353,Wes Foderingham,0.44
354,Simon Moore,0.44
355,Jake Eastwood,0.11
356,John Egan,9.9
357,Jack O'Connell,5.5
358,Chris Basham,2.2
359,Kean Bryan,2.2
360,Phil Jagielka,0.275
361,Enda Stevens,3.85
362,Max Lowe,3.3
363,Jack Robinson,2.2
